Campaign Name,Ad Group Name,Targeting,Match Type,impressions,clicks,orders,spend,sales,ACoS(%),CVR(%),CPC($),销售占比(%),花费占比(%),label,action,adj_pct,adj_dollar,reason
SL_B0F5GP96F7_8V_精准_VL_重点FURSDOLY_0316,B0F5GP96F7_8V,"asin=""B0F5GP96F7""",-,935,41,4,46.24,93.16,49.6,9.76,1.13,0.8,1.01,⚠️ 高ACoS出单,↘ 降价,-10%,$0.11,ACoS超出目标42%，中幅降价
SL_howgo_合集4_40词,40词,howgo dog slip leads,EXACT,286,8,4,3.3200000000000003,88.21000000000001,3.8,50.0,0.42,0.76,0.07,✅ 低ACoS出单,↗ 维持/提价,+0~5%,$0.00,表现良好，可小幅提价测试
SL_slip lead_词组_递增预算,词组,slip lead,PHRASE,2816,71,4,44.28,88.49,50.0,5.63,0.62,0.76,0.97,⚠️ 高ACoS出单,↘ 降价,-10%,$0.06,ACoS超出目标43%，中幅降价
SL_B08Y1SDD54_25V_精准VH_重点Fida_DW,B08Y57ZMC2_17V,"asin=""B0FCXXHQPC""",-,1119,32,4,41.39,92.25999999999999,44.9,12.5,1.29,0.79,0.91,⚠️ 高ACoS出单,↘ 降价,-10%,$0.13,ACoS超出目标28%，中幅降价
SL_Auto_旧_递增预算_0316,P绳自动2,loose-match,-,1850,26,4,10.32,76.38,13.5,15.38,0.4,0.66,0.23,✅ 低ACoS出单,↗ 维持/提价,+0~5%,$0.00,表现良好，可小幅提价测试
SL_B08Y1SDD54_25V_精准VH_重点Fida_DW,B08Y57ZMC2_17V,"asin=""B09S5W6V9C""",-,668,20,4,18.57,87.64,21.2,20.0,0.93,0.75,0.41,✅ 低ACoS出单,↗ 维持/提价,+0~5%,$0.00,表现良好，可小幅提价测试
SL_0_合集_slip lead *_4,精准_32,slip lead for large dogs,EXACT,221,2,3,1.15,66.05,1.7,150.0,0.57,0.57,0.03,✅ 低ACoS出单,↗ 维持/提价,+0~5%,$0.00,表现良好，可小幅提价测试
SL_0_合集_other_3,精准_19_0316,dog slip on leash,EXACT,9875,48,3,47.95,58.47,82.0,6.25,1.0,0.5,1.05,⚠️ 高ACoS出单,↘ 降价,-15%,$0.15,ACoS严重偏高（134%），大幅降价
SL_0_合集_training_1,精准_30,loose leash for dog training,EXACT,1099,15,3,20.69,93.16,22.2,20.0,1.38,0.8,0.45,✅ 低ACoS出单,↗ 维持/提价,+0~5%,$0.00,表现良好，可小幅提价测试
SL_1_choke collar for dogs,Exact,choke collar for dogs,EXACT,3643,25,3,23.72,62.87,37.7,12.0,0.95,0.54,0.52,⚠️ 高ACoS出单,↘ 降价,-5%,$0.05,ACoS超出目标8%，小幅降价
SL_0_合集_training_3,精准_30,dog train leash,EXACT,2937,40,3,41.209999999999994,63.31,65.1,7.5,1.03,0.54,0.9,⚠️ 高ACoS出单,↘ 降价,-15%,$0.15,ACoS严重偏高（86%），大幅降价
SL_B08Y1SDD54_25V_精准VH_重点Fida_DW,B08Y57ZMC2_17V,"asin=""B0DDPNCHN1""",-,75,5,3,5.4,62.87,8.6,60.0,1.08,0.54,0.12,✅ 低ACoS出单,↗ 维持/提价,+0~5%,$0.00,表现良好，可小幅提价测试
SL_B099WM7ZT7_24V_精准VH_重点Taglory_0316,B099WM7ZT7_7V,"asin=""B099WM7ZT7""",-,6836,43,3,35.82,85.06,42.1,6.98,0.83,0.73,0.78,⚠️ 高ACoS出单,↘ 降价,-10%,$0.08,ACoS超出目标20%，中幅降价
SL_B0FDBM5VW1_9V_精准_L_重点FURSDOLY_0316(TOS10->15),B0FDBM5VW1_9V,"asin=""B0FDBLDJ1Z""",-,63,5,3,5.25,63.07,8.3,60.0,1.05,0.54,0.11,✅ 低ACoS出单,↗ 维持/提价,+0~5%,$0.00,表现良好，可小幅提价测试
SL_1_slip lead_FX_0925_强相关,精准,slip lead,EXACT,3892,50,3,58.269999999999996,64.31,90.6,6.0,1.17,0.55,1.27,⚠️ 高ACoS出单,↘ 降价,-15%,$0.17,ACoS严重偏高（159%），大幅降价
SL_0_合集_training_3,精准_30,dog training leads,EXACT,1705,9,3,8.5,62.980000000000004,13.5,33.33,0.94,0.54,0.19,✅ 低ACoS出单,↗ 维持/提价,+0~5%,$0.00,表现良好，可小幅提价测试
SL_B094VCWM3Q_4V_精准_VL_重点SEPXUFORE,B094VCWM3Q_4V,"asin=""B094VCWM3Q""",-,185,19,3,20.57,63.769999999999996,32.3,15.79,1.08,0.55,0.45,✅ 低ACoS出单,↗ 维持/提价,+0~5%,$0.00,表现良好，可小幅提价测试
SL_B08Y1SDD54_25V_精准VH_重点Fida_DW,B08Y1SDD54_8V,"asin=""B08Y1SDD54""",-,3398,51,2,36.21,43.08,84.1,3.92,0.71,0.37,0.79,⚠️ 高ACoS出单,↘ 降价,-15%,$0.11,ACoS严重偏高（140%），大幅降价
SL_B0FF4GDWNN_7V_精准_VL_重点FURSDOLY_FX_Tos130_0316,B0FF4GDWNN_7V,"asin=""B0FF4HD9KY""",-,129,6,2,5.6,45.28,12.4,33.33,0.93,0.39,0.12,✅ 低ACoS出单,↗ 维持/提价,+0~5%,$0.00,表现良好，可小幅提价测试
SL_howgo slip lead,精准,howgo slip lead,EXACT,196,5,2,3.49,46.03,7.6,40.0,0.7,0.4,0.08,✅ 低ACoS出单,↗ 维持/提价,+0~5%,$0.00,表现良好，可小幅提价测试
SL_slip leash_词组_递增预算,词组,slip leash,PHRASE,558,4,2,1.84,39.58,4.6,50.0,0.46,0.34,0.04,✅ 低ACoS出单,↗ 维持/提价,+0~5%,$0.00,表现良好，可小幅提价测试
SL_B0FDBM5VW1_9V_精准_L_重点FURSDOLY_0316(TOS10->15),B0FDBM5VW1_9V,"asin=""B0FDBLNLPN""",-,156,6,2,7.36,47.28,15.6,33.33,1.23,0.41,0.16,✅ 低ACoS出单,↗ 维持/提价,+0~5%,$0.00,表现良好，可小幅提价测试
SL_B08PBG341W_11V_精准M_重点BTINESFUL_DW,B08PBG341W_2V,"asin=""B08PBG341W""",-,1516,39,2,38.0,43.08,88.2,5.13,0.97,0.37,0.83,⚠️ 高ACoS出单,↘ 降价,-15%,$0.15,ACoS严重偏高（152%），大幅降价
SL_B0BXS3VZVJ_25V_精准_VH,B0BXS3VZVJ_10V,"asin=""B0BXS3VZVJ""",-,4372,35,2,25.84,43.66,59.2,5.71,0.74,0.37,0.57,⚠️ 高ACoS出单,↘ 降价,-15%,$0.11,ACoS严重偏高（69%），大幅降价
SL_B095775SWX_25V_精准_M_重点TagME,B0894S61T9_24V,"asin=""B09575782X""",-,6,2,2,2.29,46.58,4.9,100.0,1.14,0.4,0.05,✅ 低ACoS出单,↗ 维持/提价,+0~5%,$0.00,表现良好，可小幅提价测试
SL_B07VLGKXFV_3V_精准VL_重点MoSANY_DW_0316,B07VLGKXFV_3V,"asin=""B0BC6DS6QV""",-,336,10,2,13.21,22.39,59.0,20.0,1.32,0.19,0.29,⚠️ 高ACoS出单,↘ 降价,-15%,$0.20,ACoS严重偏高（69%），大幅降价
SL_0_合集_other_3,精准_19_0316,slip dog leashes,EXACT,899,8,2,9.13,44.24,20.6,25.0,1.14,0.38,0.2,✅ 低ACoS出单,↗ 维持/提价,+0~5%,$0.00,表现良好，可小幅提价测试
SL_0_合集_puppy,精准_12,loop leash for small dogs,EXACT,96,3,2,3.57,44.379999999999995,8.0,66.67,1.19,0.38,0.08,✅ 低ACoS出单,↗ 维持/提价,+0~5%,$0.00,表现良好，可小幅提价测试
SL_B08DCCGNZN_6V_精准VH_重点JEWOSTER_DW-Tos160-Res50_0316,B08DCCGNZN_1V,"asin=""B08DCCGNZN""",-,5842,39,2,23.69,44.24,53.5,5.13,0.61,0.38,0.52,⚠️ 高ACoS出单,↘ 降价,-15%,$0.09,ACoS严重偏高（53%），大幅降价
SL_0_合集_slip leash *_3,精准_24,slip leash large dog,EXACT,1261,13,2,11.850000000000001,68.07,17.4,15.38,0.91,0.58,0.26,✅ 低ACoS出单,↗ 维持/提价,+0~5%,$0.00,表现良好，可小幅提价测试
SL_0_合集_other_2,精准_19,walking leash,EXACT,334,5,2,5.15,70.57,7.3,40.0,1.03,0.61,0.11,✅ 低ACoS出单,↗ 维持/提价,+0~5%,$0.00,表现良好，可小幅提价测试
SL_howgo_合集3_13词,13词,how go slip leash,EXACT,43,5,2,5.38,44.519999999999996,12.1,40.0,1.08,0.38,0.12,✅ 低ACoS出单,↗ 维持/提价,+0~5%,$0.00,表现良好，可小幅提价测试
SL_0_合集_* slip leash_2,精准14,nylon slip leash,EXACT,250,1,2,1.38,39.58,3.5,200.0,1.38,0.34,0.03,✅ 低ACoS出单,↗ 维持/提价,+0~5%,$0.00,表现良好，可小幅提价测试
SL_howgo dog slip lead dog leash_重点,精准,howgo dog slip lead dog leash,EXACT,930,6,2,6.38,86.16,7.4,33.33,1.06,0.74,0.14,✅ 低ACoS出单,↗ 维持/提价,+0~5%,$0.00,表现良好，可小幅提价测试
SL_0_合集_slip lead *_1,精准_14_0316,slip leads for puppy,EXACT,400,15,2,19.81,39.58,50.1,13.33,1.32,0.34,0.43,⚠️ 高ACoS出单,↘ 降价,-10%,$0.13,ACoS超出目标43%，中幅降价
SL_0_合集_slip leash *_1,精准_20,slip leash for puppy training,EXACT,512,7,2,9.620000000000001,39.82,24.2,28.57,1.37,0.34,0.21,✅ 低ACoS出单,↗ 维持/提价,+0~5%,$0.00,表现良好，可小幅提价测试
SL_0_合集_training_2,精准_29,training for dogs,EXACT,218,2,2,1.82,46.58,3.9,100.0,0.91,0.4,0.04,✅ 低ACoS出单,↗ 维持/提价,+0~5%,$0.00,表现良好，可小幅提价测试
SL_0_合集_training_3,精准_30,puppy training leash and collar,EXACT,219,5,2,5.09,42.18,12.1,40.0,1.02,0.36,0.11,✅ 低ACoS出单,↗ 维持/提价,+0~5%,$0.00,表现良好，可小幅提价测试
SL_B0D6G27DNH_20V_精准_H,B0D6G27DNH_5V,"asin=""B0BMQLMKG1""",-,384,9,2,9.02,38.59,23.4,22.22,1.0,0.33,0.2,✅ 低ACoS出单,↗ 维持/提价,+0~5%,$0.00,表现良好，可小幅提价测试
SL_0_合集_* slip lead *_1_观察0217,精准_9,nylon slip lead for dogs,EXACT,975,12,2,15.36,43.28,35.5,16.67,1.28,0.37,0.34,⚠️ 高ACoS出单,↘ 降价,-5%,$0.06,ACoS超出目标1%，小幅降价
SL_B0D6G27DNH_20V_精准_H,B0D8TB18VS_15V,"asin=""B0D6FW6XSN""",-,35,4,2,4.2700000000000005,44.510000000000005,9.6,50.0,1.07,0.38,0.09,✅ 低ACoS出单,↗ 维持/提价,+0~5%,$0.00,表现良好，可小幅提价测试
SL_B0041KRUIK_5V_精准_M,B0041KRUIK_5V,"asin=""B0041KRUIK""",-,1472,28,2,18.06,38.59,46.8,7.14,0.64,0.33,0.39,⚠️ 高ACoS出单,↘ 降价,-10%,$0.06,ACoS超出目标34%，中幅降价
SL_5_training leash for small dogs,Exact,training leash for small dogs,EXACT,585,11,2,12.58,42.18,29.8,18.18,1.14,0.36,0.28,✅ 低ACoS出单,↗ 维持/提价,+0~5%,$0.00,表现良好，可小幅提价测试
SL_5_training slip lead dog leash,Exact,training slip lead dog leash,EXACT,332,6,2,6.790000000000001,69.87,9.7,33.33,1.13,0.6,0.15,✅ 低ACoS出单,↗ 维持/提价,+0~5%,$0.00,表现良好，可小幅提价测试
SL_5_service dog in training leash wrap,Exact,service dog in training leash wrap,EXACT,607,1,2,0.91,84.36,1.1,200.0,0.91,0.72,0.02,✅ 低ACoS出单,↗ 维持/提价,+0~5%,$0.00,表现良好，可小幅提价测试
SL_B078WQDYPS_5V_精准_M,B078WQDYPS_5V,"asin=""B078WRS5MR""",-,409,6,2,6.38,43.08,14.8,33.33,1.06,0.37,0.14,✅ 低ACoS出单,↗ 维持/提价,+0~5%,$0.00,表现良好，可小幅提价测试
SL_B0FCXZBFZF_4V_精准_VL_重点Fida,B0FCXZBFZF_4V,"asin=""B0FCXZK4HN""",-,141,10,1,10.06,22.39,44.9,10.0,1.01,0.19,0.22,⚠️ 高ACoS出单,↘ 降价,-10%,$0.10,ACoS超出目标28%，中幅降价
SL_B0FF4GDWNN_7V_精准_VL_重点FURSDOLY_FX_Tos130_0316,B0FF4GDWNN_7V,"asin=""B0FF4GDWNN""",-,499,20,1,20.59,18.12,113.6,5.0,1.03,0.16,0.45,⚠️ 高ACoS出单,↘ 降价,-15%,$0.15,ACoS严重偏高（225%），大幅降价
SL_howgo_无曝光,无曝光,dog slip lead howgo,EXACT,5,1,1,0.51,15.39,3.3,100.0,0.51,0.13,0.01,✅ 低ACoS出单,↗ 维持/提价,+0~5%,$0.00,表现良好，可小幅提价测试
SL_B091TMYKHF_13V_精准H_重点MayPaw_DW,B091TMZ61M_8V,"asin=""B091TNP941""",-,31,1,1,1.05,22.12,4.7,100.0,1.05,0.19,0.02,✅ 低ACoS出单,↗ 维持/提价,+0~5%,$0.00,表现良好，可小幅提价测试
